#p (bar)	T (K)
2.154e+02	1.250e+03
4.642e+02	1.250e+03
1.000e+03	1.250e+03
1.000e-08	1.300e+03
2.154e-08	1.300e+03
4.642e-08	1.300e+03
1.000e-07	1.300e+03
2.154e-07	1.300e+03
4.642e-07	1.300e+03
1.000e-06	1.300e+03
2.154e-06	1.300e+03
4.642e-06	1.300e+03
1.000e-05	1.300e+03
2.154e-05	1.300e+03
4.642e-05	1.300e+03
1.000e-04	1.300e+03
2.154e-04	1.300e+03
4.642e-04	1.300e+03
1.000e-03	1.300e+03
2.154e-03	1.300e+03
4.642e-03	1.300e+03
1.000e-02	1.300e+03
2.154e-02	1.300e+03
4.642e-02	1.300e+03
1.000e-01	1.300e+03
2.154e-01	1.300e+03
4.642e-01	1.300e+03
1.000e+00	1.300e+03
2.154e+00	1.300e+03
4.642e+00	1.300e+03
1.000e+01	1.300e+03
2.154e+01	1.300e+03
4.642e+01	1.300e+03
1.000e+02	1.300e+03
2.154e+02	1.300e+03
4.642e+02	1.300e+03
1.000e+03	1.300e+03
1.000e-08	1.350e+03
2.154e-08	1.350e+03
4.642e-08	1.350e+03
1.000e-07	1.350e+03
2.154e-07	1.350e+03
4.642e-07	1.350e+03
1.000e-06	1.350e+03
2.154e-06	1.350e+03
4.642e-06	1.350e+03
1.000e-05	1.350e+03
2.154e-05	1.350e+03
4.642e-05	1.350e+03
1.000e-04	1.350e+03
2.154e-04	1.350e+03
4.642e-04	1.350e+03
1.000e-03	1.350e+03
2.154e-03	1.350e+03
4.642e-03	1.350e+03
1.000e-02	1.350e+03
2.154e-02	1.350e+03
4.642e-02	1.350e+03
1.000e-01	1.350e+03
2.154e-01	1.350e+03
4.642e-01	1.350e+03
1.000e+00	1.350e+03
2.154e+00	1.350e+03
4.642e+00	1.350e+03
1.000e+01	1.350e+03
2.154e+01	1.350e+03
4.642e+01	1.350e+03
1.000e+02	1.350e+03
2.154e+02	1.350e+03
4.642e+02	1.350e+03
1.000e+03	1.350e+03
1.000e-08	1.400e+03
2.154e-08	1.400e+03
4.642e-08	1.400e+03
1.000e-07	1.400e+03
2.154e-07	1.400e+03
4.642e-07	1.400e+03
1.000e-06	1.400e+03
2.154e-06	1.400e+03
4.642e-06	1.400e+03
1.000e-05	1.400e+03
2.154e-05	1.400e+03
4.642e-05	1.400e+03
1.000e-04	1.400e+03
2.154e-04	1.400e+03
4.642e-04	1.400e+03
1.000e-03	1.400e+03
2.154e-03	1.400e+03
4.642e-03	1.400e+03
1.000e-02	1.400e+03
2.154e-02	1.400e+03
4.642e-02	1.400e+03
1.000e-01	1.400e+03
2.154e-01	1.400e+03
4.642e-01	1.400e+03
1.000e+00	1.400e+03
2.154e+00	1.400e+03
4.642e+00	1.400e+03
1.000e+01	1.400e+03
2.154e+01	1.400e+03
4.642e+01	1.400e+03
1.000e+02	1.400e+03
